RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600456469493	 	3.3.1
USER	AdvDevStudyDataLake	1	START	1600456471161	1600456471161
USER	AdvDevStudyDataLake	2	START	1600456471243	1600456471243
USER	AdvDevStudyDataLake	3	START	1600456471312	1600456471312
USER	AdvDevStudyDataLake	4	START	1600456471372	1600456471372
USER	AdvDevStudyDataLake	5	START	1600456471451	1600456471451
USER	AdvDevStudyDataLake	6	START	1600456471523	1600456471523
USER	AdvDevStudyDataLake	7	START	1600456471581	1600456471581
USER	AdvDevStudyDataLake	8	START	1600456471651	1600456471651
USER	AdvDevStudyDataLake	9	START	1600456471721	1600456471721
USER	AdvDevStudyDataLake	10	START	1600456471781	1600456471781
USER	AdvDevStudyDataLake	11	START	1600456471851	1600456471851
USER	AdvDevStudyDataLake	12	START	1600456471921	1600456471921
USER	AdvDevStudyDataLake	13	START	1600456471981	1600456471981
USER	AdvDevStudyDataLake	14	START	1600456472051	1600456472051
USER	AdvDevStudyDataLake	15	START	1600456472122	1600456472122
USER	AdvDevStudyDataLake	16	START	1600456472181	1600456472181
USER	AdvDevStudyDataLake	17	START	1600456472241	1600456472241
USER	AdvDevStudyDataLake	18	START	1600456472301	1600456472301
USER	AdvDevStudyDataLake	19	START	1600456472362	1600456472362
REQUEST	3		request_1	1600456471312	1600456472361	OK	 
USER	AdvDevStudyDataLake	3	END	1600456471312	1600456472370
REQUEST	1		request_1	1600456471195	1600456472347	OK	 
USER	AdvDevStudyDataLake	1	END	1600456471161	1600456472378
REQUEST	2		request_1	1600456471243	1600456472382	OK	 
USER	AdvDevStudyDataLake	2	END	1600456471243	1600456472383
USER	AdvDevStudyDataLake	20	START	1600456472423	1600456472423
REQUEST	8		request_1	1600456471652	1600456472470	OK	 
USER	AdvDevStudyDataLake	8	END	1600456471651	1600456472471
USER	AdvDevStudyDataLake	21	START	1600456472481	1600456472481
REQUEST	7		request_1	1600456471582	1600456472486	OK	 
USER	AdvDevStudyDataLake	7	END	1600456471581	1600456472487
USER	AdvDevStudyDataLake	22	START	1600456472531	1600456472531
REQUEST	4		request_1	1600456471373	1600456472545	OK	 
USER	AdvDevStudyDataLake	4	END	1600456471372	1600456472546
REQUEST	5		request_1	1600456471452	1600456472553	OK	 
USER	AdvDevStudyDataLake	5	END	1600456471451	1600456472554
REQUEST	9		request_1	1600456471722	1600456472581	OK	 
USER	AdvDevStudyDataLake	9	END	1600456471721	1600456472582
USER	AdvDevStudyDataLake	23	START	1600456472590	1600456472590
USER	AdvDevStudyDataLake	24	START	1600456472651	1600456472651
REQUEST	6		request_1	1600456471523	1600456472662	OK	 
REQUEST	11		request_1	1600456471852	1600456472662	OK	 
USER	AdvDevStudyDataLake	6	END	1600456471523	1600456472662
USER	AdvDevStudyDataLake	11	END	1600456471851	1600456472662
REQUEST	10		request_1	1600456471781	1600456472671	OK	 
USER	AdvDevStudyDataLake	10	END	1600456471781	1600456472672
USER	AdvDevStudyDataLake	25	START	1600456472711	1600456472711
REQUEST	12		request_1	1600456471923	1600456472746	OK	 
USER	AdvDevStudyDataLake	12	END	1600456471921	1600456472747
USER	AdvDevStudyDataLake	26	START	1600456472771	1600456472771
USER	AdvDevStudyDataLake	27	START	1600456472834	1600456472834
USER	AdvDevStudyDataLake	28	START	1600456472892	1600456472892
REQUEST	14		request_1	1600456472052	1600456472901	OK	 
USER	AdvDevStudyDataLake	14	END	1600456472051	1600456472902
REQUEST	13		request_1	1600456471982	1600456472932	OK	 
USER	AdvDevStudyDataLake	13	END	1600456471981	1600456472933
USER	AdvDevStudyDataLake	29	START	1600456472951	1600456472951
REQUEST	15		request_1	1600456472123	1600456472981	OK	 
USER	AdvDevStudyDataLake	15	END	1600456472122	1600456472982
USER	AdvDevStudyDataLake	30	START	1600456473011	1600456473011
REQUEST	16		request_1	1600456472181	1600456473028	OK	 
USER	AdvDevStudyDataLake	16	END	1600456472181	1600456473029
USER	AdvDevStudyDataLake	31	START	1600456473060	1600456473060
USER	AdvDevStudyDataLake	32	START	1600456473121	1600456473121
REQUEST	18		request_1	1600456472302	1600456473161	OK	 
